order_id,order_date,category,subcategory,region,unit_price,quantity,discount,revenue,profit,customer_age,gender,customer_id
49,09-05-2024,Sports,Fitness,Central,708.18,3,0.15,1805.86,632.51,41,Male,1046
50,22-07-2024,Clothing,Women,Central,29.02,3,0.24,66.17,18.03,25,Female,1290
51,08-07-2024,Beauty,Fragrance,North,664.09,3,0.03,1932.5,495.02,38,Female,1543
52,23-05-2023,Clothing,Men,North,156.65,3,0.05,446.45,77.88,24,Female,2558
53,23-09-2023,Sports,Team Sports,East,349.82,1,0.23,269.36,105.25,45,Male,1192
54,07-12-2023,Electronics,Audio,North,310.45,2,0.06,583.65,178.91,53,Female,2363
55,30-12-2023,Electronics,Mobiles,North,655.4,3,0.01,1946.54,445.47,24,Female,2401
56,01-02-2023,Beauty,Skincare,North,768.15,3,0.04,2212.27,832.49,35,Male,1937
57,03-02-2024,Beauty,Fragrance,North,746.32,3,0.05,2127.01,355.79,25,Male,1293
58,23-04-2023,Beauty,Skincare,South,528.14,2,0.1,950.65,231.88,41,Male,1714
59,26-06-2024,Home & Kitchen,Furniture,Central,128.66,2,0.05,244.45,52.76,41,Male,1564
60,13-05-2024,Sports,Outdoor,West,284.87,1,0.11,253.53,87.23,34,Male,1541
61,04-11-2024,Home & Kitchen,Decor,North,745.67,3,0.04,2147.53,939.79,37,Female,1267
62,27-06-2024,Electronics,Audio,North,89.44,3,0.06,252.22,121.24,45,Male,2370
63,25-09-2023,Home & Kitchen,Furniture,East,81.82,2,0.04,157.09,75.09,22,Female,2825
64,07-12-2024,Beauty,Skincare,North,363.5,3,0.08,1003.26,150.89,32,Female,1256
65,27-10-2023,Clothing,Women,South,707.65,2,0.14,1217.16,233.47,28,Female,2257
66,26-08-2023,Beauty,Haircare,West,193.53,2,0.09,352.22,70.04,34,Other,1625
67,23-10-2024,Clothing,Men,North,207.65,2,0.03,402.84,129.96,42,Male,1681
68,28-09-2023,Sports,Outdoor,North,323.02,3,0.06,910.92,266.88,27,Male,1725
69,25-02-2023,Electronics,Laptops,South,92.58,1,0.06,87.03,38.15,24,Female,2237
70,09-12-2023,Home & Kitchen,Appliances,North,346.39,1,0.06,325.61,130.7,40,Female,1887
71,03-08-2024,Electronics,Mobiles,Central,649.4,1,0.09,590.95,121.44,30,Female,1827
72,19-05-2023,Sports,Outdoor,South,487.31,1,0.04,467.82,233.74,23,Male,2504
73,04-12-2023,Electronics,Audio,East,442.76,3,0.03,1288.43,206.08,18,Male,1268
74,05-04-2023,Home & Kitchen,Decor,North,283.43,1,0.12,249.42,66.91,33,Female,1575
75,16-05-2024,Home & Kitchen,Furniture,West,123.67,3,0.15,315.36,117.52,18,Female,2848
76,14-12-2023,Sports,Team Sports,West,129.15,2,0.1,232.47,44.7,,Female,1494
77,30-08-2023,Beauty,Haircare,Central,264.16,2,0.04,507.19,79.23,26,Male,2445
78,15-06-2023,Beauty,Haircare,South,262.85,1,0.05,249.71,62.21,23,Male,2396
79,17-02-2024,Electronics,Laptops,East,492.9,3,0.04,1419.55,316.71,39,Female,2825
80,03-05-2024,Home & Kitchen,Furniture,Central,333.91,3,0.02,981.7,327.64,37,Female,2267
81,17-11-2024,Clothing,Kids,Central,440.71,2,0.16,740.39,355.28,23,Female,1588
82,16-11-2023,Beauty,Haircare,West,233.08,2,0.11,414.88,116.38,48,Female,1094
83,28-04-2023,Electronics,Accessories,East,59.65,1,0.04,57.26,22.38,31,Male,2853
84,30-08-2024,Electronics,Accessories,West,616.14,2,0.04,1182.99,465.77,41,Female,2215
85,04-04-2024,Sports,Outdoor,North,95.01,1,0.09,86.46,35.28,24,Female,1362
86,26-05-2024,Home & Kitchen,Furniture,West,628.24,2,0.02,1231.35,347.3,47,Male,1782
87,12-03-2023,Sports,Fitness,South,150.27,2,0.08,276.5,95.19,42,Female,1736
88,17-08-2023,Clothing,Kids,Central,640.58,2,0.08,1178.67,281.28,38,Female,1405
89,14-07-2024,Clothing,Women,North,171.9,3,0.08,474.44,194.52,35,Male,2385
90,30-08-2024,Sports,Team Sports,Central,292.54,1,0.15,248.66,79.43,37,Female,2230
91,14-11-2023,Sports,Outdoor,West,299.19,4,0.08,1101.02,406.77,37,Male,2708
92,10-08-2024,Home & Kitchen,Decor,North,160.25,2,0.02,314.09,58.98,36,Female,1030
93,06-09-2024,Clothing,Women,Central,600.83,3,0.09,1640.27,749.01,38,Male,2182
94,10-10-2023,Electronics,Laptops,North,55.31,2,0.13,96.24,30.05,42,Male,2647
95,17-10-2024,Home & Kitchen,Decor,North,494.79,2,0.1,890.62,273.71,29,Male,2281
96,30-07-2023,Electronics,Laptops,West,797.42,1,0.04,765.52,355.88,35,Female,1396
97,24-06-2023,Clothing,Men,Central,641.36,2,0.04,1231.41,335.34,43,Male,1622
98,13-05-2024,Clothing,Men,Central,546.25,3,0.14,1409.32,627.76,50,Male,1551
99,09-04-2024,Sports,Team Sports,Central,307.7,1,0.1,276.93,76.4,35,Male,1724
100,13-04-2023,Beauty,Haircare,North,763.41,4,0.02,2992.57,483.02,30,Female,1135
101,30-08-2024,Clothing,Kids,West,73.3,5,0.02,359.17,161.62,40,Female,1035
102,26-05-2023,Electronics,Audio,Central,596.99,3,0.04,1719.33,576.84,40,Female,1160
103,10-08-2024,Sports,Outdoor,South,598.29,3,0.03,1741.02,336.81,18,Male,1643
104,06-01-2023,Clothing,Women,West,441.44,1,0.06,414.95,194.75,51,Other,1075
105,04-08-2024,Electronics,Laptops,Central,198.64,1,0.03,192.68,37.05,37,Male,2997
106,28-07-2024,Home & Kitchen,Decor,West,110.3,1,0.05,104.78,24.08,34,Male,2639
107,23-07-2024,Beauty,Fragrance,West,319.94,3,0.07,892.63,257.23,33,Male,2230
108,30-04-2024,Home & Kitchen,Appliances,West,665.13,3,0.05,1895.62,446.92,30,Female,2453
109,11-12-2023,Beauty,Fragrance,West,421.28,2,0.01,834.13,329.41,28,Female,1628
110,29-05-2024,Home & Kitchen,Appliances,West,578.13,4,0,2312.52,859.85,40,Male,2391
111,22-07-2023,Beauty,Skincare,East,634.5,4,0.06,2385.72,943.72,56,Male,2243
112,23-07-2024,Home & Kitchen,Furniture,Central,412.53,3,0.15,1051.95,452.91,34,Female,1192
113,10-02-2024,Beauty,Skincare,East,372.51,2,0.1,670.52,114.34,42,Female,2921
114,02-12-2023,Beauty,Fragrance,Central,23.84,2,0.06,44.82,21.73,44,Male,2989
115,05-01-2024,Beauty,Haircare,East,205.7,6,0.04,1184.83,579.7,35,Male,2982
116,20-02-2024,Beauty,Haircare,West,573.86,2,0.09,1044.43,450.88,34,Female,1664
117,28-01-2023,Home & Kitchen,Furniture,North,136.67,1,0.02,133.94,38.5,41,Male,2965
118,13-04-2023,Clothing,Men,North,629.24,1,0.08,578.9,189.66,26,Female,1623
119,29-06-2023,Home & Kitchen,Furniture,West,72.46,3,0.05,206.51,60.72,36,Male,2058
120,25-03-2023,Electronics,Audio,North,673.42,3,0.05,1919.25,918.56,53,Female,2554
121,17-11-2023,Beauty,Skincare,West,374.57,2,0.11,666.73,185.09,46,Female,2533
122,02-05-2024,Electronics,Audio,North,425.56,2,0.11,757.5,308.72,47,Male,2922
123,22-04-2024,Sports,Team Sports,Central,237.86,2,0.12,418.63,207.95,51,Female,1621
124,10-12-2023,Home & Kitchen,Appliances,West,654.73,2,0.07,1217.8,589.32,45,Female,1338
125,16-09-2024,Sports,Fitness,North,217.69,2,0.13,378.78,157.6,38,Male,2930
126,17-02-2024,Sports,Fitness,East,122.44,2,0.12,215.49,104.94,32,Female,2385
127,27-02-2023,Home & Kitchen,Decor,South,523.38,3,0.06,1475.93,502.54,41,Female,2055
128,12-07-2024,Home & Kitchen,Furniture,East,64.85,2,0.02,127.11,49.81,35,Female,2282
129,24-02-2024,Sports,Outdoor,South,557.03,5,0.05,2645.89,607.29,28,Male,2212
130,08-04-2024,Beauty,Skincare,North,430.68,1,0.03,417.76,67.2,26,Male,1771
131,17-02-2024,Clothing,Women,North,534.4,2,0.11,951.23,296.09,48,Female,2249
132,09-02-2024,Beauty,Fragrance,North,305.52,3,0.13,797.41,263.83,40,Male,1732
133,08-03-2023,Beauty,Fragrance,Central,459.71,2,0.05,873.45,259.21,47,Male,1714
134,13-02-2024,Sports,Outdoor,North,457.49,3,0.04,1317.57,630.67,18,Male,1910
135,03-08-2024,Sports,Team Sports,West,686.51,2,0.03,1331.83,338.11,35,Male,2081
136,10-08-2023,Electronics,Audio,North,659.52,4,0.03,2558.94,429.72,45,Male,1117
137,16-03-2024,Beauty,Skincare,Central,671.72,4,0.02,2633.14,1176.78,53,Male,1411
138,23-01-2023,Electronics,Laptops,East,103.93,2,0.08,191.23,29.08,34,Male,1737
139,11-09-2023,Electronics,Laptops,North,343.56,3,0.05,979.15,487.65,30,Other,2564
140,15-11-2023,Home & Kitchen,Appliances,South,81.38,2,0.1,146.48,47.5,25,Male,1776
141,18-12-2024,Electronics,Accessories,North,26.99,3,0.02,79.35,35.95,39,Male,1217
142,06-06-2023,Sports,Team Sports,South,127.84,2,0.02,250.57,96.13,61,Male,2270
143,21-07-2023,Beauty,Skincare,South,113.49,3,0.13,296.21,142.88,35,Female,1204
144,26-10-2023,Sports,Fitness,East,289.4,1,0.16,243.1,48.7,41,Female,2046
145,25-12-2024,Electronics,Audio,North,81.13,3,0.01,240.96,79.02,,Female,1068
146,14-09-2024,Beauty,Fragrance,North,494.93,1,0.04,475.13,75.85,18,Male,1132
147,26-01-2023,Electronics,Audio,North,444.53,3,0.11,1186.9,242.54,46,Female,2766
148,20-06-2023,Sports,Fitness,North,297.33,4,0.02,1165.53,548.16,33,Female,2959
149,22-08-2024,Clothing,Kids,South,611.32,2,0.11,1088.15,493.87,,Female,1459
150,12-02-2023,Electronics,Audio,West,276.65,1,0.04,265.58,103.25,31,Male,1728
151,16-09-2024,Electronics,Mobiles,South,514.75,2,0.02,1008.91,411.42,29,Female,1546
152,25-07-2023,Sports,Outdoor,North,358.8,1,0.07,333.68,148.54,50,Male,1381
153,31-10-2024,Clothing,Women,West,619.77,3,0.03,1803.53,322.02,,Male,1578
154,03-08-2023,Beauty,Skincare,South,340.9,1,0.09,310.22,106.11,41,Female,1716
155,14-11-2023,Clothing,Kids,West,451.67,1,0.06,424.57,127.5,32,Male,2278
156,28-04-2024,Beauty,Fragrance,South,560.34,1,0.13,487.5,171.27,34,Female,1920
157,03-04-2023,Beauty,Haircare,Central,566.89,4,0.13,1972.78,729.88,37,Female,2947
158,11-02-2024,Home & Kitchen,Appliances,West,162.74,3,0.12,429.63,106.63,33,Male,2622
159,04-01-2024,Beauty,Haircare,West,113.18,3,0.04,325.96,107.54,42,Female,1946
160,26-07-2024,Beauty,Haircare,East,791.87,2,0.07,1472.88,479.55,40,Female,1297
161,28-12-2024,Clothing,Men,West,319.63,3,0.04,920.53,450.15,,Female,1979
162,29-04-2024,Beauty,Haircare,East,201.9,3,0.02,593.59,185.98,41,Female,1763
163,26-10-2023,Home & Kitchen,Appliances,South,176.7,3,0.07,492.99,221.32,34,Female,2707
164,24-10-2023,Home & Kitchen,Furniture,East,349.83,1,0.05,332.34,109.18,37,Female,1623
165,02-11-2023,Home & Kitchen,Appliances,North,339.49,3,0.04,977.73,202.04,27,Male,1044
166,17-08-2024,Electronics,Laptops,West,137.8,3,0.13,359.66,61.81,25,Male,1074
167,23-08-2023,Clothing,Women,West,167.75,2,0.03,325.44,122.05,37,Male,2973
168,02-05-2023,Beauty,Fragrance,East,200.04,2,0.09,364.07,164.4,35,Male,1221
169,02-09-2023,Beauty,Haircare,West,64.33,1,0.02,63.04,30.7,29,Female,1136
170,17-01-2023,Clothing,Women,North,33.13,1,0.17,27.5,11.73,38,Male,2187
171,19-03-2023,Home & Kitchen,Furniture,West,218.39,2,0.13,380,178.48,19,Male,2560
172,07-03-2023,Home & Kitchen,Furniture,South,713.17,4,0.02,2795.63,489.28,37,Other,2937
173,17-07-2024,Beauty,Skincare,West,644.57,2,0.08,1186.01,477.25,18,Female,2872
174,11-06-2024,Home & Kitchen,Decor,North,579.41,1,0.01,573.62,147.66,51,Female,2042
175,23-05-2024,Electronics,Audio,North,677.53,3,0.06,1910.63,853.21,27,Male,1131
176,04-12-2023,Home & Kitchen,Appliances,East,482.26,1,0.16,405.1,148.88,54,Female,2412
177,07-06-2024,Beauty,Haircare,North,678,4,0.07,2522.16,905.29,26,Male,1930
178,28-04-2023,Home & Kitchen,Decor,South,344.8,1,0.13,299.98,134.14,44,Male,2492
179,19-10-2024,Sports,Team Sports,Central,364.17,2,0.1,655.51,181.4,42,Male,2004
180,01-01-2024,Home & Kitchen,Decor,West,735.82,2,0.04,1412.77,492.19,39,Male,2377
181,15-11-2024,Clothing,Men,Central,408.83,4,0.06,1537.2,581.26,35,Male,1864
182,22-04-2023,Electronics,Accessories,South,348.9,3,0.09,952.5,291.76,27,Other,2738
183,30-12-2023,Clothing,Kids,South,167.56,2,0.02,328.42,63.55,27,Female,2026
184,23-05-2024,Beauty,Skincare,West,603.72,3,0.06,1702.49,328.42,31,Female,2743
185,28-12-2023,Sports,Team Sports,North,113.64,2,0.02,222.73,86.51,33,Male,1133
186,22-11-2023,Beauty,Haircare,North,447.71,1,0.04,429.8,190.67,45,Female,2586
187,02-05-2023,Electronics,Audio,North,580.77,4,0.03,2253.39,962.05,29,Female,1843
188,06-10-2023,Electronics,Laptops,South,757.7,2,0.04,1454.78,647.21,43,Female,2517
189,24-06-2023,Electronics,Accessories,West,276.28,2,0.08,508.36,135.06,30,Female,2826
190,09-08-2023,Electronics,Laptops,South,376.03,2,0.08,691.9,246.38,37,Female,1228
191,14-05-2024,Home & Kitchen,Decor,East,313.89,2,0.14,539.89,210.57,50,Male,2495
192,05-04-2024,Home & Kitchen,Decor,West,651.18,1,0.08,599.09,267.44,21,Female,2821
193,19-03-2024,Electronics,Audio,West,239.77,2,0.2,383.63,125.91,35,Male,2970
194,22-09-2023,Beauty,Fragrance,West,410.8,3,0.14,1059.86,446.48,49,Male,1944
195,01-12-2024,Beauty,Skincare,East,684.97,5,0.13,2979.62,586.43,30,Male,2529
196,05-03-2023,Sports,Team Sports,North,41.12,3,0.06,115.96,40.79,51,Female,2136
197,08-09-2023,Beauty,Fragrance,East,695.46,3,0.08,1919.47,305.38,31,Female,1027
198,28-03-2023,Beauty,Haircare,Central,212.5,2,0.08,391,79.29,36,Male,1041
199,05-09-2023,Electronics,Mobiles,South,380.27,1,0.15,323.23,95.28,37,Female,1528
200,03-12-2024,Home & Kitchen,Appliances,West,37.38,3,0.11,99.8,48.27,24,Male,2754
201,25-09-2023,Beauty,Fragrance,North,147.6,2,0.03,286.34,128.19,25,Male,2811
202,25-10-2024,Beauty,Fragrance,South,775.34,3,0.01,2302.76,1115.55,25,Female,1421
203,28-12-2023,Electronics,Accessories,South,25.98,2,0.05,49.36,23.24,30,Other,1613
204,25-05-2024,Beauty,Fragrance,South,141.45,5,0.12,622.38,183.31,35,Male,1101
205,30-11-2023,Clothing,Kids,North,738.78,3,0.09,2016.87,825.72,30,Female,1103
206,14-07-2023,Home & Kitchen,Furniture,South,691.48,4,0.09,2516.99,518.61,28,Female,2443
207,11-07-2024,Electronics,Laptops,Central,119.95,2,0.05,227.9,95.63,31,Female,1218
208,08-12-2024,Electronics,Audio,South,553.81,1,0.09,503.97,163.49,20,Male,2888
209,12-07-2023,Clothing,Kids,East,517.92,1,0.04,497.2,173.23,51,Male,1828
210,22-07-2024,Sports,Fitness,West,483.4,4,0.13,1682.23,736.28,52,Female,2919
211,10-07-2023,Home & Kitchen,Furniture,Central,691.76,2,0.14,1189.83,489.07,48,Female,1614
212,07-06-2024,Sports,Team Sports,South,199.3,2,0.04,382.66,178.83,35,Female,2999
213,29-07-2024,Sports,Fitness,South,132.09,3,0.06,372.49,172.48,41,Female,2090
214,25-11-2023,Electronics,Laptops,West,209.01,2,0.11,372.04,171.49,50,Female,1020
215,21-06-2024,Clothing,Women,Central,199.69,3,0.06,563.13,122.21,37,Female,1028
216,18-07-2023,Home & Kitchen,Appliances,Central,515.24,3,0.03,1499.35,643.89,43,Male,1025
217,27-02-2023,Beauty,Skincare,Central,465.63,3,0.13,1215.29,495.82,59,Male,1653
218,12-03-2023,Beauty,Skincare,North,655.51,1,0.06,616.18,234.97,33,Female,1772
219,23-11-2023,Electronics,Mobiles,North,733.73,1,0.02,719.06,193.26,51,Male,2004
220,20-10-2024,Home & Kitchen,Furniture,South,481.82,1,0.09,438.46,98.3,29,Female,2041
221,04-04-2023,Beauty,Fragrance,North,680.42,2,0.23,1047.85,261.47,38,Female,1151
222,29-11-2023,Electronics,Accessories,South,259.94,2,0.18,426.3,148.23,28,Female,2689
223,28-05-2024,Clothing,Women,Central,33.67,1,0.09,30.64,8.24,32,Male,1078
224,28-05-2023,Sports,Outdoor,South,754,2,0.05,1432.6,436.54,41,Female,1445
225,10-06-2024,Beauty,Skincare,Central,655.43,3,0.09,1789.32,719.66,46,Female,1992
226,12-08-2023,Beauty,Haircare,North,500.29,1,0.14,430.25,196.69,22,Male,2113
227,13-08-2024,Home & Kitchen,Furniture,East,486.75,3,0.08,1343.43,598.96,44,Female,1159
228,27-02-2024,Beauty,Skincare,West,593.22,1,0.16,498.3,140.11,23,Female,2253
229,04-02-2024,Electronics,Laptops,South,107.8,3,0.09,294.29,107.03,29,Female,1287
230,10-05-2023,Beauty,Skincare,West,436.44,4,0.11,1553.73,343.96,45,Other,2155
231,05-12-2023,Electronics,Mobiles,East,635.05,4,0.05,2413.19,701.03,22,Female,2526
232,17-09-2024,Electronics,Accessories,North,490.66,3,0.15,1251.18,426.14,29,Female,1189
233,15-01-2023,Home & Kitchen,Furniture,West,728.43,3,0.12,1923.06,906.68,27,Male,1568
234,07-07-2024,Home & Kitchen,Decor,North,474.91,2,0.09,864.34,227.09,31,Male,1486
235,26-12-2023,Electronics,Accessories,East,656.7,2,0.04,1260.86,476.64,36,Female,2824
236,09-06-2024,Sports,Fitness,South,318.97,2,0.13,555.01,208.56,23,Female,2032
237,29-04-2024,Electronics,Laptops,East,53.37,2,0.11,95,30.71,45,Male,2427
238,12-11-2023,Beauty,Skincare,South,264.99,3,0.03,771.12,228.54,32,Male,2692
239,14-08-2023,Home & Kitchen,Decor,North,446.79,3,0.15,1139.31,407.26,29,Male,2690
240,02-04-2024,Clothing,Men,West,423.4,3,0.12,1117.78,392.87,39,Female,2769
241,13-04-2023,Beauty,Skincare,South,89.13,2,0.08,164,70.96,34,Female,1247
242,02-03-2024,Electronics,Mobiles,West,749.48,1,0.06,704.51,344.02,47,Male,2938
243,11-03-2023,Beauty,Skincare,Central,497.88,4,0.09,1812.28,592.85,18,Female,2584
244,19-04-2024,Sports,Fitness,North,49.45,2,0.06,92.97,14.49,32,Male,1801
245,03-04-2024,Home & Kitchen,Decor,West,274.7,1,0.01,271.95,128.38,58,Female,2162
246,03-03-2023,Clothing,Women,Central,299.89,1,0.09,272.9,97.5,31,Female,2907
247,06-07-2024,Beauty,Skincare,South,175.94,4,0.07,654.5,277.44,38,Female,1174
248,31-10-2023,Clothing,Women,South,416.5,2,0.06,783.02,213.76,43,Male,2056
249,28-07-2024,Clothing,Women,South,283.36,1,0.06,266.36,86.56,,Female,2448
250,31-01-2023,Beauty,Fragrance,North,523.48,2,0.03,1015.55,222.77,24,Male,1217
251,12-05-2023,Sports,Outdoor,South,488.85,2,0.1,879.93,248.3,45,Female,2515
252,27-12-2023,Clothing,Men,North,741.4,2,0.05,1408.66,407.6,18,Female,1308
253,18-05-2023,Beauty,Haircare,West,257.15,3,0.07,717.45,153.54,51,Male,2616
254,29-08-2023,Sports,Outdoor,West,484.21,1,0.04,464.84,112.05,39,Male,1740
255,27-04-2024,Electronics,Laptops,East,602.18,2,0.08,1108.01,391.08,32,Female,1446
256,16-04-2023,Electronics,Laptops,Central,250.63,1,0.07,233.09,96.84,49,Male,1521
257,09-05-2024,Clothing,Kids,East,566.87,2,0.06,1065.72,322.68,52,Female,1524
258,17-03-2023,Beauty,Fragrance,East,479.28,2,0.04,920.22,210.86,22,Male,1988
259,08-05-2023,Sports,Team Sports,Central,478.34,4,0.1,1722.02,789.17,33,Male,1065
260,04-03-2024,Home & Kitchen,Furniture,East,294.97,1,0.12,259.57,97.37,27,Male,1576
261,02-08-2024,Home & Kitchen,Appliances,North,454.05,2,0.05,862.7,250.89,30,Male,2782
262,05-05-2023,Clothing,Kids,Central,451.17,2,0.06,848.2,180.46,40,Male,1497
263,07-08-2023,Electronics,Audio,Central,772.64,2,0.13,1344.39,311.55,29,Male,1384
264,06-11-2024,Home & Kitchen,Decor,North,50.92,2,0.02,99.8,40.9,27,Male,1109
265,23-12-2024,Beauty,Fragrance,West,589.28,3,0.19,1431.95,283.02,18,Male,1178
266,29-02-2024,Sports,Outdoor,East,712.68,3,0.06,2009.76,434.01,37,Female,2197
267,23-11-2023,Home & Kitchen,Appliances,North,781.35,2,0.03,1515.82,376.9,26,Other,2017
268,11-09-2023,Clothing,Women,North,444.93,1,0.14,382.64,60.1,46,Male,1054
269,23-03-2024,Home & Kitchen,Furniture,East,481.76,2,0.06,905.71,258.82,29,Female,2204
270,07-03-2024,Clothing,Men,North,137.05,2,0.05,260.4,120.84,49,Male,1419
271,04-08-2023,Clothing,Kids,West,161.93,2,0.11,288.24,47.07,44,Female,1654
272,17-01-2023,Clothing,Women,South,783.83,3,0.05,2233.92,828.34,29,Female,2020
273,21-04-2023,Electronics,Laptops,Central,116.59,3,0.05,332.28,118.85,31,Female,1139
274,30-11-2024,Clothing,Men,South,649.12,1,0.14,558.24,94.02,20,Male,1123
275,02-11-2023,Electronics,Audio,North,246.35,2,0.13,428.65,94.8,23,Female,1904
276,19-12-2023,Sports,Outdoor,Central,648.19,1,0.05,615.78,136.57,23,Male,1231
277,07-12-2023,Beauty,Fragrance,West,220.89,2,0.07,410.86,158.24,55,Male,2072
278,25-07-2024,Sports,Outdoor,West,214.47,1,0.05,203.75,77.95,19,Female,2538
279,17-02-2023,Sports,Outdoor,South,459.66,1,0.09,418.29,169.54,26,Male,2961
280,02-03-2023,Home & Kitchen,Furniture,North,766.55,4,0.1,2759.58,723.87,26,Male,1674
281,21-07-2023,Home & Kitchen,Decor,South,553.57,1,0.08,509.28,138.45,37,Female,1583
282,22-12-2023,Sports,Outdoor,South,798.22,3,0.05,2274.93,772.12,52,Female,2736
283,04-05-2024,Sports,Outdoor,West,108.72,2,0.07,202.22,79.21,26,Female,1976
284,25-12-2023,Clothing,Men,North,340.51,4,0.18,1116.87,259.21,48,Male,2422
285,19-11-2023,Home & Kitchen,Decor,South,612.22,4,0.09,2228.48,645.56,31,Male,1058
286,15-11-2024,Sports,Team Sports,West,596.7,1,0.03,578.8,96.03,28,Female,2157
287,28-04-2023,Sports,Outdoor,South,458.72,1,0.09,417.44,72.59,27,Male,2316
288,22-02-2024,Electronics,Laptops,North,405.48,3,0.1,1094.8,265.59,30,Female,2069
289,31-01-2024,Electronics,Mobiles,North,778.58,1,0.13,677.36,261.61,31,Female,1770
290,12-12-2023,Beauty,Haircare,North,325.22,2,0.21,513.85,198.49,27,Male,1713
